"Microbe"	"Genotype"	"Temperature"	"Measurement"	"Average"	"standard_deviation"	"number_of_replicates"
"-Rhizobia"	"symrk"	"26"	"Shoot_height"	7.02	2.38788609443583	5
"-Rhizobia"	"symrk"	"26"	"Shoot_root_ratio"	0.567407674422101	0.111444247209567	5
"-Rhizobia"	"symrk"	"30"	"Fresh_weight_root"	0.858666666666667	0.163234391801074	6
"-Rhizobia"	"symrk"	"30"	"Fresh_weight_shoot"	0.7415	0.237310556023115	6
"-Rhizobia"	"symrk"	"30"	"Leaves_number"	8.5	2.34520787991171	6
"-Rhizobia"	"symrk"	"30"	"Nodules_number"	0	0	6
"-Rhizobia"	"symrk"	"30"	"Shoot_height"	6.31666666666667	1.85948021411003	6
"-Rhizobia"	"symrk"	"30"	"Shoot_root_ratio"	0.873679529360908	0.249136663313225	6
"-Rhizobia"	"symrk"	"RT"	"Fresh_weight_root"	2.252	0.180922082676494	6
"-Rhizobia"	"symrk"	"RT"	"Fresh_weight_shoot"	1.22633333333333	0.26004127877448	6
"-Rhizobia"	"symrk"	"RT"	"Leaves_number"	14.6666666666667	1.86189867250253	6
"-Rhizobia"	"symrk"	"RT"	"Nodules_number"	0	0	6
"-Rhizobia"	"symrk"	"RT"	"Shoot_height"	8.45	1.52282631970951	6
"-Rhizobia"	"symrk"	"RT"	"Shoot_root_ratio"	0.550258086692537	0.145740990078849	6
